Movie,Director,Genre,Gross (millions USD),Rating
Into the Wild,Sean Penn,"Adventure, Biography, Drama",18.35,8.1
Star Trek,J.J. Abrams,"Action, Adventure, Sci-Fi",257.73,7.9
Harry Potter and the Deathly Hallows: Part 1,David Yates,"Adventure, Family, Fantasy",295.98,7.7
The Great Gatsby,Baz Luhrmann,"Drama, Romance",144.84,7.2
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Action, Adventure, Fantasy",241.06,6.6
Harry Potter and the Half-Blood Prince,David Yates,"Action, Adventure, Family",301.96,7.6
The Hobbit: The Battle of the Five Armies,Peter Jackson,"Adventure, Fantasy",255.12,7.4
Ex Machina,Alex Garland,"Drama, Sci-Fi, Thriller",25.44,7.7
Knives Out,Rian Johnson,"Comedy, Crime, Drama",165.36,7.9
"Crazy, Stupid, Love.",Glenn Ficarra,"Comedy, Drama, Romance",84.35,7.4
Mission: Impossible,Brian De Palma,"Action, Adventure, Thriller",180.98,7.2
Live Free or Die Hard,Len Wiseman,"Action, Thriller",134.53,7.1
Unbreakable,M. Night Shyamalan,"Drama, Mystery, Sci-Fi",95.01,7.3
Aquaman,James Wan,"Action, Adventure, Fantasy",335.06,6.9
Spectre,Sam Mendes,"Action, Adventure, Thriller",200.07,6.8
Godzilla,Gareth Edwards,"Action, Adventure, Sci-Fi",200.68,6.4
Alice in Wonderland,Tim Burton,"Adventure, Family, Fantasy",334.19,6.4
This Is the End,James Franco,Comedy,101.47,6.6
Transformers: Dark of the Moon,Michael Bay,"Action, Adventure, Sci-Fi",352.39,6.2
Transformers: Revenge of the Fallen,Michael Bay,"Action, Adventure, Sci-Fi",402.11,6
Platoon,Oliver Stone,"Drama, War",138.53,8.1
Scott Pilgrim vs. the World,Edgar Wright,"Action, Comedy, Fantasy",31.49,7.5
Wreck-It Ralph,Rich Moore,"Animation, Adventure, Comedy",189.42,7.7
Star Wars: Episode IX - The Rise of Skywalker,J.J. Abrams,"Action, Adventure, Fantasy",515.2,6.6
The Lost World: Jurassic Park,Steven Spielberg,"Action, Adventure, Sci-Fi",229.09,6.6
500 Days of Summer,Marc Webb,"Comedy, Drama, Romance",32.39,7.7
Zodiac,David Fincher,"Crime, Drama, Mystery",33.08,7.7
Nightcrawler,Dan Gilroy,"Crime, Drama, Thriller",32.38,7.8
Blade Runner 2049,Denis Villeneuve,"Action, Drama, Mystery",92.05,8
Casino,Martin Scorsese,"Crime, Drama",42.44,8.2
